schema_name,table_name,table_column
Procurement_Analysis_NRS,v_fact_purch_ord_line,purch_doc_nbr
Procurement_Analysis_NRS,v_fact_purch_ord_line,purch_doc_line_nbr
Procurement_Analysis_NRS,v_fact_purch_ord_line,purch_doc_line_del_ind
Procurement_Analysis_NRS,v_fact_purch_ord_line,purch_ord_line_cls_ind
Procurement_Analysis_NRS,v_fact_purch_ord_line,gds_rcpt_ind
Procurement_Analysis_NRS,v_fact_purch_ord_line,purch_line_rcv_sts_cd
Procurement_Analysis_NRS,v_fact_purch_ord_line,purch_line_invc_sts_cd
Procurement_Analysis_NRS,v_fact_purch_ord_line,purch_doc_rqstr_uid
Procurement_Analysis_NRS,v_fact_purch_ord_line,cfm_ctrl_cd
Procurement_Analysis_NRS,v_fact_purch_ord_line,strg_loc_id
Procurement_Analysis_NRS,v_fact_purch_ord_line,plnt_nm
Procurement_Analysis_NRS,v_fact_purch_ord_line,strg_loc_dsc
Procurement_Analysis_NRS,v_fact_purch_ord_line,frst_seq_cost_centr_char_nbr
Procurement_Analysis_NRS,v_fact_purch_ord_line,purch_doc_line_qty
